400 22
a 18 33
a 13 18
a 16 23
a 18 19
a 5 25
a 25 34
a 23 20
a 15 25
a 8 38
a 29 56
a 71 141
a 65 107
a 39 146
a 18 127
a 138 53
a 31 118
a 143 49
a 102 23
a 26 131
a 26 14
a 22 81
a 20 19
a 86 155
a 74 97
a 25 12
a 16 15
a 159 24
a 61 13
a 134 68
a 38 153
a 119 63
a 112 19
a 44 108
a 35 155
a 47 84
a 81 34
a 79 173
a 68 92
a 30 24
a 5 168
a 124 97
a 62 16
a 116 28
a 30 39
a 152 71
a 88 62
a 49 153
a 71 39
a 133 170
a 109 103
a 132 11
a 136 88
a 165 67
a 101 16
a 36 90
a 166 17
a 54 59
a 133 47
a 85 157
a 103 24
a 157 149
a 136 100
a 74 44
a 79 19
a 73 110
a 17 145
a 100 130
a 114 102
a 22 125
a 58 55
a 48 19
a 118 78
a 22 46
a 102 60
a 125 17
a 163 121
a 121 172
a 75 90
a 138 120
a 110 164
a 15 11
a 21 133
a 107 112
a 139 23
a 58 25
a 122 13
a 83 78
a 167 167
a 31 178
a 69 107
a 139 166
a 88 15
a 62 178
a 158 61
a 102 157
a 114 143
a 149 119
a 128 61
a 144 21
a 131 65
